normalized_name_block,exact_normalized_name_match,author_id_a,author_id_b,name_a,name_b,retained_papers_a,retained_papers_b,same_name_direct_coauthor,shared_coauthor_names,coauthor_jaccard,axis_jaccard,year_overlap,classification,recommended_action
c meade,True,2310915201,5210721,C. Meade,C. Meade,1,3,False,1,0.05,1.0,False,ambiguous_name_collision,manual_review
f castellanos,True,2247916403,66851526,F. X. Castellanos,F. X. Castellanos,2,1,False,1,0.05,1.0,True,ambiguous_name_collision,manual_review
yu ping wang,True,2256576029,2143488876,Yu-Ping Wang,Yu-Ping Wang,1,2,False,1,0.05,0.5,True,ambiguous_name_collision,manual_review
laurent petit,True,2059255481,2364396773,Laurent Petit,Laurent Petit,1,1,False,1,0.047619,0.5,False,ambiguous_name_collision,manual_review
yu zhang,True,115116889,2153635130,Yu Zhang,Yu Zhang,7,3,False,1,0.047619,0.2,True,ambiguous_name_collision,manual_review
andrew mckenzie,True,2058858479,2299141888,Andrew T. McKenzie,Andrew T. McKenzie,1,3,False,1,0.045455,0.0,False,ambiguous_name_collision,manual_review
daniela egas santander,True,2300373062,2363938680,Daniela Egas Santander,Daniela Egas-Santander,2,1,False,1,0.045455,1.0,True,ambiguous_name_collision,manual_review
f castellanos,True,2274994535,66851526,F. X. Castellanos,F. X. Castellanos,2,1,False,1,0.045455,1.0,False,ambiguous_name_collision,manual_review
f castellanos,True,2361004201,66851526,F. X. Castellanos,F. X. Castellanos,3,1,False,1,0.045455,0.5,False,ambiguous_name_collision,manual_review
heng huang,True,2252369635,46676192,Heng Huang,Heng Huang,1,2,False,1,0.045455,0.0,False,ambiguous_name_collision,manual_review
bennett landman,True,2239208043,2254551021,Bennett A. Landman,Bennett A. Landman,3,1,False,1,0.043478,1.0,True,ambiguous_name_collision,manual_review
hao huang,True,2238889807,7192555,Hao Huang,Hao Huang,1,5,False,1,0.043478,0.5,False,ambiguous_name_collision,manual_review
p sorrentino,True,2356247904,2270498412,P. Sorrentino,P. Sorrentino,2,1,False,1,0.043478,0.5,False,ambiguous_name_collision,manual_review
robert smith,True,2214312998,2354638452,Robert G. Smith,Robert G. Smith,1,2,False,1,0.043478,0.0,False,ambiguous_name_collision,manual_review
geng chen,True,2254838928,2116389104,Geng Chen,Geng Chen,1,1,False,1,0.041667,0.0,False,ambiguous_name_collision,manual_review
bennett landman,True,2133475009,2254551021,Bennett A. Landman,Bennett A. Landman,3,1,False,1,0.04,0.5,False,ambiguous_name_collision,manual_review
j iglesias,True,2239182023,1786793,J. E. Iglesias,J. E. Iglesias,1,1,False,1,0.04,0.0,False,ambiguous_name_collision,manual_review
jiayu chen,True,2256582973,51520050,Jiayu Chen,Jiayu Chen,1,1,False,1,0.04,0.5,False,ambiguous_name_collision,manual_review
jinhui wang,True,38612176,2308821461,Jinhui Wang,Jinhui Wang,7,1,False,1,0.04,0.5,False,ambiguous_name_collision,manual_review
li wang,True,2152722680,46659719,Li Wang,Li Wang,1,1,False,1,0.04,0.5,False,ambiguous_name_collision,manual_review
h bellen,True,3377288,2248278403,H. Bellen,H. Bellen,2,1,False,1,0.038462,0.0,False,ambiguous_name_collision,manual_review
hao wang,True,71421876,40574043,Hao Wang,Hao Wang,1,1,False,1,0.038462,0.0,False,ambiguous_name_collision,manual_review
hideyuki okano,True,2242374991,2282329446,Hideyuki Okano,Hideyuki Okano,1,1,False,1,0.038462,0.0,True,ambiguous_name_collision,manual_review
j kornfeld,True,144223246,2214649805,J. Kornfeld,J. Kornfeld,4,2,False,1,0.038462,0.25,False,ambiguous_name_collision,manual_review
junichi hata,True,2353873410,2077652246,Junichi Hata,Junichi Hata,1,1,False,1,0.038462,0.0,True,ambiguous_name_collision,manual_review
m chakravarty,True,2237995063,2271482493,M. Chakravarty,M. Chakravarty,1,1,False,1,0.038462,0.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2252488132,2273963610,Paul M. Thompson,Paul M. Thompson,2,1,False,1,0.038462,0.5,False,ambiguous_name_collision,manual_review
amit zeisel,True,2261179414,2565412,Amit Zeisel,Amit Zeisel,2,1,False,1,0.037037,0.0,False,ambiguous_name_collision,manual_review
andrew mckenzie,True,2299141888,2368404641,Andrew T. McKenzie,Andrew T. McKenzie,3,1,False,1,0.037037,0.0,True,ambiguous_name_collision,manual_review
p mcgorry,True,2237614585,2436585,P. McGorry,P. McGorry,1,1,False,1,0.037037,0.5,False,ambiguous_name_collision,manual_review
e angelo,True,1397329721,2258319517,E. D’Angelo,E. D’Angelo,3,1,False,1,0.035714,0.5,False,ambiguous_name_collision,manual_review
f barkhof,True,2242596860,2496051,F. Barkhof,F. Barkhof,1,1,False,1,0.035714,1.0,False,ambiguous_name_collision,manual_review
guorong wu,True,46531894,2336939877,Guorong Wu,Guorong Wu,6,1,False,1,0.035714,0.0,False,ambiguous_name_collision,manual_review
guorong wu,True,46531894,2355121544,Guorong Wu,Guorong Wu,6,1,False,1,0.034483,0.666667,False,ambiguous_name_collision,manual_review
k davis,True,2250383416,2111798344,K. Davis,K. Davis,2,1,False,1,0.034483,0.5,False,ambiguous_name_collision,manual_review
li wang,True,2152722680,49680659,Li Wang,Li Wang,1,2,False,1,0.034483,0.5,False,ambiguous_name_collision,manual_review
m febo,True,47702909,2246516627,M. Febo,M. Febo,8,2,False,1,0.034483,0.333333,False,ambiguous_name_collision,manual_review
zhiwei xiong,True,2254314875,2352456,Zhiwei Xiong,Zhiwei Xiong,1,2,False,1,0.034483,0.0,True,ambiguous_name_collision,manual_review
heng huang,True,2146257986,46676192,Heng Huang,Heng Huang,6,2,False,1,0.033333,0.333333,True,ambiguous_name_collision,manual_review
s oldham,True,49924869,2284336283,S. Oldham,S. Oldham,7,2,False,1,0.033333,0.333333,True,ambiguous_name_collision,manual_review
g ascoli,True,1695982,2247787678,G. Ascoli,G. Ascoli,10,1,False,1,0.032258,0.25,False,ambiguous_name_collision,manual_review
feng wu,True,2110921885,2303382819,Feng Wu,Feng Wu,2,1,False,1,0.03125,0.0,False,ambiguous_name_collision,manual_review
sami obaid,True,2309222551,2189744770,Sami Obaid,Sami Obaid,1,1,False,1,0.03125,0.0,False,ambiguous_name_collision,manual_review
yong he,True,2239415360,2118926146,Yong He,Yong He,3,1,False,1,0.03125,0.0,False,ambiguous_name_collision,manual_review
a saykin,True,7992909,2412611342,A. Saykin,A. Saykin,5,2,False,1,0.030303,0.333333,True,ambiguous_name_collision,manual_review
guorong wu,True,46531894,2406043984,Guorong Wu,Guorong Wu,6,1,False,1,0.030303,0.333333,True,ambiguous_name_collision,manual_review
jason adhinarta,False,2218475459,2339264037,Jason Adhinarta,Jason K. Adhinarta,2,1,False,1,0.030303,0.0,False,ambiguous_name_collision,manual_review
binke yuan,True,1403997686,2311352386,Binke Yuan,Binke Yuan,1,1,False,1,0.029412,0.5,False,ambiguous_name_collision,manual_review
feng wu,True,2110921885,2315070324,Feng Wu,Feng Wu,2,1,False,1,0.029412,0.0,False,ambiguous_name_collision,manual_review
m styner,True,143755812,1490813437,M. Styner,M. Styner,2,1,False,1,0.029412,0.5,True,ambiguous_name_collision,manual_review
guorong wu,True,46531894,2255506351,Guorong Wu,Guorong Wu,6,8,False,1,0.028571,0.5,False,ambiguous_name_collision,manual_review
shi gu,True,80914691,2327200013,Shi Gu,Shi Gu,6,1,False,1,0.027027,0.333333,False,ambiguous_name_collision,manual_review
yong he,True,2298522996,2381068950,Yong He,Yong He,2,1,False,1,0.027027,0.0,True,ambiguous_name_collision,manual_review
m styner,True,143755814,143755812,M. Styner,M. Styner,2,2,False,1,0.025641,1.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2260351082,2273963610,Paul M. Thompson,Paul M. Thompson,1,1,False,1,0.025641,1.0,False,ambiguous_name_collision,manual_review
r desimone,True,144375727,2319128842,R. Desimone,R. Desimone,1,1,False,1,0.025641,0.0,False,ambiguous_name_collision,manual_review
kristen harris,True,2055588221,2055588434,Kristen M. Harris,Kristen M. Harris,3,1,False,1,0.025,0.0,False,ambiguous_name_collision,manual_review
pietro bontempi,True,5140987,2318070666,Pietro Bontempi,Pietro Bontempi,2,1,False,1,0.025,0.666667,False,ambiguous_name_collision,manual_review
xi chen,True,2145306992,2268629059,Xi Chen,Xi Chen,8,2,False,1,0.025,0.25,False,ambiguous_name_collision,manual_review
daniela egas santander,True,4714609,2363938680,Daniela Egas Santander,Daniela Egas-Santander,3,1,False,1,0.02439,0.333333,False,ambiguous_name_collision,manual_review
maxime descoteaux,True,2249067693,2242574855,Maxime Descoteaux,Maxime Descoteaux,3,1,False,1,0.02439,0.333333,False,ambiguous_name_collision,manual_review
zhihao zheng,True,2115546389,2192419650,Zhihao Zheng,Zhihao Zheng,2,2,False,1,0.02439,0.0,False,ambiguous_name_collision,manual_review
stephen smith,True,2254774234,2149153544,Stephen M. Smith,Stephen M. Smith,1,2,False,1,0.023256,0.5,False,ambiguous_name_collision,manual_review
keun young kim,True,2265619405,2351405994,Keun-Young Kim,Keun-Young Kim,2,1,False,1,0.022727,0.0,False,ambiguous_name_collision,manual_review
kurt schilling,True,2318038750,2318038740,Kurt Schilling,Kurt Schilling,1,3,False,1,0.022222,1.0,False,ambiguous_name_collision,manual_review
shuo chen,True,2032577179,2143480208,Shuo Chen,Shuo Chen,8,1,False,1,0.022222,0.5,True,ambiguous_name_collision,manual_review
a raj,True,143683523,118108282,A. Raj,A. Raj,16,1,False,1,0.021277,0.666667,True,ambiguous_name_collision,manual_review
kurt schilling,False,2318038750,2364565778,Kurt Schilling,Kurt G. Schilling,1,1,False,1,0.020408,1.0,False,ambiguous_name_collision,manual_review
bruce rosen,True,2271893470,2068523917,Bruce Rosen,Bruce Rosen,1,1,False,1,0.02,0.5,True,ambiguous_name_collision,manual_review
gang li,True,2149146066,2155119144,Gang Li,Gang Li,7,1,False,1,0.02,0.5,True,ambiguous_name_collision,manual_review
hui gong,True,2253400284,2118178813,Hui Gong,Hui Gong,1,2,False,1,0.018868,1.0,False,ambiguous_name_collision,manual_review
jingliang cheng,True,7437983,2239137856,Jingliang Cheng,Jingliang Cheng,1,1,False,1,0.018868,1.0,False,ambiguous_name_collision,manual_review
lei guo,True,2110798193,143621713,Lei Guo,Lei Guo,7,4,False,1,0.018519,0.5,True,ambiguous_name_collision,manual_review
p koch,False,2302783313,2069391662,P. J. Koch,P. Koch,3,2,False,1,0.018519,0.666667,False,ambiguous_name_collision,manual_review
paul thompson,True,2252488132,2260351082,Paul M. Thompson,Paul M. Thompson,2,1,False,1,0.018519,0.5,True,ambiguous_name_collision,manual_review
a quattrone,True,2247463971,49664270,A. Quattrone,A. Quattrone,1,1,False,1,0.017241,0.5,False,ambiguous_name_collision,manual_review
huafu chen,True,50688836,2373941616,Huafu Chen,Huafu Chen,9,1,False,1,0.016667,0.333333,False,ambiguous_name_collision,manual_review
r shinohara,True,2507543,2238048515,R. Shinohara,R. Shinohara,7,1,False,1,0.016129,0.0,False,ambiguous_name_collision,manual_review
r romero garcia,True,1422139658,2142115017,R. Romero-Garcia,R. Romero‐Garcia,4,1,False,1,0.015873,0.0,True,ambiguous_name_collision,manual_review
yong he,True,2298522996,2238392863,Yong He,Yong He,2,3,False,1,0.015873,0.0,True,ambiguous_name_collision,manual_review
yong he,True,2298522996,2239415360,Yong He,Yong He,2,3,False,1,0.015873,0.0,True,ambiguous_name_collision,manual_review
l abbott,True,145293717,46386728,L. Abbott,L. Abbott,4,1,False,1,0.015625,0.0,True,ambiguous_name_collision,manual_review
t sejnowski,True,1714528,50504368,T. Sejnowski,T. Sejnowski,6,1,False,1,0.015625,0.0,True,ambiguous_name_collision,manual_review
s lui,True,2348654458,145965433,S. Lui,S. Lui,2,6,False,1,0.015385,0.666667,False,ambiguous_name_collision,manual_review
l abbott,False,145293717,2404178285,L. Abbott,L. F. Abbott,4,1,False,1,0.014706,0.0,False,ambiguous_name_collision,manual_review
r romero garcia,True,2401936648,1422139658,R. Romero-Garcia,R. Romero-Garcia,4,4,False,1,0.014085,0.5,True,ambiguous_name_collision,manual_review
tao li,True,48779259,2290137098,Tao Li,Tao Li,1,1,False,1,0.013699,1.0,False,ambiguous_name_collision,manual_review
a gozzi,True,4380479,2318206325,A. Gozzi,A. Gozzi,9,1,False,1,0.013158,0.5,False,ambiguous_name_collision,manual_review
david kennedy,False,2073530309,2073530113,David Kennedy,David N. Kennedy,1,1,False,1,0.012658,0.0,False,ambiguous_name_collision,manual_review
ye wu,True,2115679627,2340466292,Ye Wu,Ye Wu,7,1,False,1,0.0125,0.333333,False,ambiguous_name_collision,manual_review
r gur,True,2237266016,2256419511,R. Gur,R. Gur,1,1,False,1,0.011905,0.333333,False,ambiguous_name_collision,manual_review
d greve,True,1827360,2271961979,D. Greve,D. Greve,3,1,False,1,0.011628,0.333333,True,ambiguous_name_collision,manual_review
yogesh rathi,True,1766623,2285099517,Yogesh Rathi,Yogesh Rathi,13,1,False,1,0.011628,0.5,False,ambiguous_name_collision,manual_review
ye wu,True,2115679598,2340466292,Ye Wu,Ye Wu,4,1,False,1,0.011364,0.5,False,ambiguous_name_collision,manual_review
r gur,True,2288515084,2237266016,R. Gur,R. Gur,2,1,False,1,0.011236,0.666667,False,ambiguous_name_collision,manual_review
wei chung allen lee,True,2243372740,2351128394,Wei-Chung Allen Lee,Wei-Chung Allen Lee,6,1,False,1,0.011236,0.0,True,ambiguous_name_collision,manual_review
a mayer,False,20761567,33226162,A. R. Mayer,A. Mayer,1,1,False,1,0.010753,0.0,False,ambiguous_name_collision,manual_review
v hartenstein,True,2204140,2238412025,V. Hartenstein,V. Hartenstein,8,1,False,1,0.010638,0.333333,False,ambiguous_name_collision,manual_review
yi jiang,True,2146419507,2146421613,Yi Jiang,Yi Jiang,1,1,False,1,0.010526,0.0,False,ambiguous_name_collision,manual_review
ye wu,True,2115679627,2258779588,Ye Wu,Ye Wu,7,1,False,1,0.009615,1.0,False,ambiguous_name_collision,manual_review
r gur,True,144762538,2237266016,R. Gur,R. Gur,3,1,False,1,0.009524,0.666667,True,ambiguous_name_collision,manual_review
e don,True,2364406103,5352022,E. Donà,E. Donà,1,1,False,1,0.009091,0.0,False,ambiguous_name_collision,manual_review
r gur,True,2406788,2237266016,R. Gur,R. Gur,4,1,False,1,0.009091,0.666667,True,ambiguous_name_collision,manual_review
ye wu,True,2115679598,2258779588,Ye Wu,Ye Wu,4,1,False,1,0.008929,0.5,False,ambiguous_name_collision,manual_review
m then,True,2522501,2259144794,M. Nöthen,M. Nöthen,1,1,False,1,0.008696,0.5,False,ambiguous_name_collision,manual_review
h dong,True,1792048,7503437,H. Dong,H. Dong,7,3,False,1,0.008,0.5,True,ambiguous_name_collision,manual_review
s koch,True,143993800,2066454859,S. Koch,S. Koch,1,1,False,1,0.007812,1.0,False,ambiguous_name_collision,manual_review
s mueller,True,39556642,47522210,S. Mueller,S. Mueller,1,1,False,1,0.007812,1.0,False,ambiguous_name_collision,manual_review
b biswal,True,2268929,2064348131,B. Biswal,B. Biswal,6,1,False,1,0.007692,0.25,False,ambiguous_name_collision,manual_review
v jirsa,True,7597475,2316574099,V. Jirsa,V. Jirsa,12,1,False,1,0.007143,0.333333,True,ambiguous_name_collision,manual_review
a quattrone,True,2321981,2247463971,A. Quattrone,A. Quattrone,6,1,False,1,0.007092,1.0,False,ambiguous_name_collision,manual_review
minsu kim,True,2375087031,2116507701,Minsu Kim,Minsu Kim,1,6,False,1,0.006667,0.0,True,ambiguous_name_collision,manual_review
e bullmore,True,34217324,2361891710,E. Bullmore,E. Bullmore,31,1,False,1,0.006289,0.2,False,ambiguous_name_collision,manual_review
jingpeng wu,True,31421132,7162062,Jingpeng Wu,Jingpeng Wu,23,1,False,1,0.005495,0.111111,True,ambiguous_name_collision,manual_review
yong he,True,145475635,2118926146,Yong He,Yong He,38,1,False,1,0.00495,0.0,True,ambiguous_name_collision,manual_review
ting zhao,True,145786043,2114775208,Ting Zhao,Ting Zhao,12,2,False,1,0.004878,0.0,True,ambiguous_name_collision,manual_review
p thompson,False,145363223,2302521438,P. Thompson,P. M. Thompson,6,1,False,1,0.004785,0.333333,False,ambiguous_name_collision,manual_review
stephen plaza,False,1846140,152457228,Stephen M. Plaza,Stephen K. Plaza,30,1,False,1,0.004219,0.0,True,ambiguous_name_collision,manual_review
c mcdonald,True,1680974,2393210996,C. McDonald,C. Mcdonald,11,1,False,1,0.003817,0.0,False,ambiguous_name_collision,manual_review
marta costa,True,145739913,2116353110,Marta Costa,Marta Costa,26,1,False,1,0.003096,0.166667,True,ambiguous_name_collision,manual_review
p thompson,True,2412795623,2077480089,P. Thompson,P. Thompson,33,1,False,1,0.002857,0.5,False,ambiguous_name_collision,manual_review
viren jain,True,35086944,2321602510,Viren Jain,Viren Jain,26,1,False,1,0.002857,0.1,True,ambiguous_name_collision,manual_review
a alexander,False,2106745539,2351996605,A. Alexander,A. O. Alexander,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
a anwander,True,1772918,2236409840,A. Anwander,A. Anwander,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
a banerjee,True,32073181,2268843497,A. Banerjee,A. Banerjee,4,1,False,0,0.0,0.333333,True,ambiguous_name_collision,manual_review
a cerasa,True,1685733,2334002420,A. Cerasa,A. Cerasa,3,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
a dagher,True,2268650631,2250402256,A. Dagher,A. Dagher,5,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
a david,True,2106815065,144510844,A. David,A. David,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
a davidson,False,123543491,2004698239,A. M. Davidson,A. Davidson,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
a gholipour,True,2318053243,143936525,A. Gholipour,A. Gholipour,1,1,False,0,0.0,1.0,True,ambiguous_name_collision,manual_review
a golby,True,1804818,2250436209,A. Golby,A. Golby,8,1,False,0,0.0,0.5,True,ambiguous_name_collision,manual_review
a hn,False,2463789,2312850433,A. Kühn,A. A. Kühn,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
a holmes,True,35609365,2223236282,A. Holmes,A. Holmes,5,3,False,0,0.0,0.25,False,ambiguous_name_collision,manual_review
a horn,True,33588280,2321721505,A. Horn,A. Horn,2,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
a horn,True,33588280,2055745535,A. Horn,A. Horn,2,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
a horn,True,2321721505,2055745535,A. Horn,A. Horn,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
a iraji,True,2602754,2291935799,A. Iraji,A. Iraji,1,1,False,0,0.0,0.333333,False,ambiguous_name_collision,manual_review
a maritan,True,2243246703,3123952,A. Maritan,A. Maritan,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
a mcintosh,True,145232559,144477665,A. Mcintosh,A. McIntosh,10,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
a mehta,True,80226544,31593564,A. Mehta,A. Mehta,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
a reiter,True,3207112,3151032,A. Reiter,A. Reiter,2,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
a reyes,True,8768151,1811630,A. Reyes,A. Reyes,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
a simmons,True,2443310,1680054,A. Simmons,A. Simmons,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
a simon,True,144607650,15556592,A. Simon,A. Simon,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
a walsum,False,2063937,2249134849,A. C. Walsum,A. M. V. C. V. Walsum,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
a ziaeemehr,True,2268852879,7985829,A. Ziaeemehr,A. Ziaeemehr,2,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
adeel razi,True,1740639,2291318483,Adeel Razi,Adeel Razi,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
adriana di martino,True,2234619598,2251471611,Adriana Di Martino,Adriana Di Martino,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
adriana di martino,True,2412749860,2251471611,Adriana Di Martino,Adriana Di Martino,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
alan evans,True,144159535,2257019181,Alan C. Evans,Alan C. Evans,3,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
albert cardona,True,145844120,2360774246,Albert Cardona,Albert Cardona,20,1,False,0,0.0,0.285714,False,ambiguous_name_collision,manual_review
alessandra griffa,True,2276227963,2326082764,Alessandra Griffa,Alessandra Griffa,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
alexandra badea,True,144014548,2327665423,Alexandra Badea,Alexandra Badea,4,1,False,0,0.0,1.0,True,ambiguous_name_collision,manual_review
alexandre bejanin,True,2273187049,5494720,Alexandre Bejanin,Alexandre Bejanin,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
ali khan,True,2218490594,2134893113,Ali R. Khan,Ali R. Khan,3,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
andreas schaefer,True,40461570,2327386402,Andreas T. Schaefer,Andreas T. Schaefer,1,2,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
andreu ball santacana,True,114317833,2365565654,Andreu Ballús Santacana,Andreu Ballús Santacana,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
andrew mckenzie,True,2058858479,2368404641,Andrew T. McKenzie,Andrew T. McKenzie,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
anees kazi,True,32868927,2298433815,Anees Kazi,Anees Kazi,1,2,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
ashley harris,True,2303666293,2080410464,Ashley D. Harris,Ashley D. Harris,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
avinash khandelwal,True,2308460825,50022871,Avinash Khandelwal,Avinash Khandelwal,2,2,False,0,0.0,0.25,False,ambiguous_name_collision,manual_review
ayana hellevik,False,2183045378,2306743719,Ayana M. Hellevik,Ayana Hellevik,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
b biswal,True,2064348119,2064348131,B. Biswal,B. Biswal,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
b dunkley,False,3481690,2261811778,B. Dunkley,B. T. Dunkley,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
b jones,False,2313509197,2189135465,B. W. Jones,B. M. Jones,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
b nagel,True,3154010,2251445271,B. Nagel,B. Nagel,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
b park,True,6016393,2111067842,B. Park,B. Park,18,1,False,0,0.0,0.2,True,ambiguous_name_collision,manual_review
b peterson,True,152503268,3286633,B. Peterson,B. Peterson,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
b yeo,True,2033767520,2251773365,B. T. Yeo,B. T. Yeo,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
b yeo,False,2033767520,2244801367,B. T. Yeo,B. T. T. Yeo,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
b yeo,False,2033767520,2270293286,B. T. Yeo,B. Yeo,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
b yeo,False,2377283735,2251773365,B. T. T. Yeo,B. T. Yeo,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
b yeo,True,2377283735,2244801367,B. T. T. Yeo,B. T. T. Yeo,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
b yeo,False,2377283735,2270293286,B. T. T. Yeo,B. Yeo,1,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
b yeo,False,2251773365,2377283830,B. T. Yeo,B. Yeo,1,3,False,0,0.0,1.0,True,ambiguous_name_collision,manual_review
b yeo,False,2251773365,2244801367,B. T. Yeo,B. T. T. Yeo,1,1,False,0,0.0,1.0,True,ambiguous_name_collision,manual_review
b yeo,False,2251773365,2270293286,B. T. Yeo,B. Yeo,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
b yeo,False,2377283830,2244801367,B. Yeo,B. T. T. Yeo,3,1,False,0,0.0,1.0,True,ambiguous_name_collision,manual_review
b yeo,True,2377283830,2270293286,B. Yeo,B. Yeo,3,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
b yeo,False,2244801367,2270293286,B. T. T. Yeo,B. Yeo,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
bharat biswal,False,2361479568,2206120055,Bharat Biswal,Bharat B. Biswal,1,1,False,0,0.0,0.5,False,ambiguous_name_collision,manual_review
bin zhang,True,49846439,2119455128,Bin Zhang,Bin Zhang,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
bo li,True,2313084418,38079590,Bo Li,Bo Li,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
c abdallah,True,3348652,9689225,C. Abdallah,C. Abdallah,2,4,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
c abdallah,True,3348652,2275334969,C. Abdallah,C. Abdallah,2,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
c gerloff,True,3019244,2177352323,C. Gerloff,C. Gerloff,8,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
c gerloff,True,2255011108,2177352323,C. Gerloff,C. Gerloff,4,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
c gie ing,True,2276294845,2376570,C. Gießing,C. Gießing,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
c goodman,True,2419211,2239422232,C. Goodman,C. Goodman,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
c lee,True,2109465339,3202965,C. Lee,C. Lee,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
c luo,True,49138854,143725169,C. Luo,C. Luo,1,2,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
c park,True,2296226797,2249361687,C. Park,C. Park,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
c park,True,2296226797,2140350688,C. Park,C. Park,2,2,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
c park,True,2249361687,2140350688,C. Park,C. Park,1,2,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
c poupon,True,48594910,2265378075,C. Poupon,C. Poupon,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
c xie,True,2064753680,2329143907,C. Xie,C. Xie,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
carsten finke,True,2285324960,2249061,Carsten Finke,Carsten Finke,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
chao zhang,True,2368784450,2284058389,Chao Zhang,Chao Zhang,1,1,False,0,0.0,0.25,False,ambiguous_name_collision,manual_review
chao zhang,True,2368784450,2152735150,Chao Zhang,Chao Zhang,1,2,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
chao zhang,True,2284058389,2152735150,Chao Zhang,Chao Zhang,1,2,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
chen zhang,True,2313595789,2187909846,Chen Zhang,Chen Zhang,1,1,False,0,0.0,1.0,False,ambiguous_name_collision,manual_review
cheng xu,True,2360308590,2153076219,Cheng Xu,Cheng Xu,1,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
chi zhang,True,2115811458,2115813827,Chi Zhang,Chi Zhang,2,1,False,0,0.0,0.0,False,ambiguous_name_collision,manual_review
christopher lynn,True,2258962836,2398902402,Christopher W. Lynn,Christopher W. Lynn,2,1,False,0,0.0,0.0,True,ambiguous_name_collision,manual_review
